Date,Return,MLE_VaR_95,Bayesian_VaR_95,MLE_Breach,Bayesian_Breach
2024-11-26,0.5705697155263866,-1.3746216165668936,-1.2679818801463696,False,False
2024-11-27,-0.38084810835777116,-1.3655547228542115,-1.2656664367663855,False,False
2024-11-29,0.5592120396801623,-1.3170271629608448,-1.2180755048229894,False,False
2024-12-02,0.24454638805813736,-1.3108354387344598,-1.2207767523122852,False,False
2024-12-03,0.04513472420221813,-1.2756022239254483,-1.1839561163194832,False,False
2024-12-04,0.603318162813612,-1.22871786105505,-1.1364923827409656,False,False
2024-12-05,-0.18715258393823342,-1.241756198442071,-1.1646174153867994,False,False
2024-12-06,0.24923453675383123,-1.188599857803322,-1.1139301858507566,False,False
2024-12-09,-0.6163167285227462,-1.1513703415748062,-1.0818877536162306,False,False
2024-12-10,-0.2968284314279252,-1.1648834341985068,-1.1115506951615803,False,False
2024-12-11,0.8132626411368236,-1.1214120700662296,-1.0728891111383847,False,False
2024-12-12,-0.5428731461463251,-1.1828362719339427,-1.1584316424460552,False,False
2024-12-13,-0.002646698937187397,-1.1650624887524832,-1.1468588966284432,False,False
2024-12-16,0.37921550087844297,-1.1265620336029354,-1.1045637553436327,False,False
2024-12-17,-0.3871479480655496,-1.1319245075111977,-1.113704012419051,False,False
2024-12-18,-2.993650530451818,-1.1023857696354602,-1.090361247146307,True,True
2024-12-19,-0.08654867505367933,-1.921368557638683,-2.0821025264085824,False,False
2024-12-20,1.08104794023973,-1.6660807550149137,-1.7847601566533033,False,False
2024-12-23,0.7260849585616372,-1.6628011069922892,-1.7734508670037683,False,False
2024-12-24,1.0982233165126825,-1.7037745450273543,-1.794081069237473,False,False
2024-12-26,-0.04057410882578191,-1.7305945880810991,-1.8035705159292714,False,False
2024-12-27,-1.1117304964912211,-1.6930105670947007,-1.7274235830218636,False,False
2024-12-30,-1.0759673941729728,-1.679414722870239,-1.7150024305146476,False,False
2024-12-31,-0.4294006458982307,-1.6797757284853705,-1.706933623285308,False,False
2025-01-02,-0.22263631494489922,-1.6086172761827198,-1.6037285710529492,False,False
2025-01-03,1.251735670782609,-1.5787657732698173,-1.5423984462088216,False,False
2025-01-06,0.5522766496818171,-1.6432394017096905,-1.6320073411576541,False,False
2025-01-07,-1.116602151663701,-1.6458002859616512,-1.6141927327957588,False,False
2025-01-08,0.15591440938312423,-1.6555981140839935,-1.6399943408606206,False,False
2025-01-10,-1.5531637650233374,-1.5743224986178606,-1.5286560957393514,False,True
2025-01-13,0.15742043780551176,-1.6810950164257543,-1.6799158713863303,False,False
2025-01-14,0.1145623334164268,-1.6068939961666906,-1.5728436112243276,False,False
2025-01-15,1.8147132504516372,-1.561292477762639,-1.4991358802919708,False,False
2025-01-16,-0.21149243408667612,-1.7619810306281876,-1.7805457673329221,False,False
2025-01-17,0.9941478308394033,-1.728326961669643,-1.7098411169332166,False,False
2025-01-21,0.8730009440596049,-1.7447461261845036,-1.7165422502321708,False,False
2025-01-22,0.611918108699413,-1.742528766614314,-1.6993341679470175,False,False
2025-01-23,0.5299419459529372,-1.7233170954686983,-1.6572282382432022,False,False
2025-01-24,-0.2859215984467759,-1.6767603677847938,-1.5885003468453813,False,False
2025-01-27,-1.4688059032112328,-1.5896434978882392,-1.482275275781789,False,False
2025-01-28,0.9175644177716802,-1.6960373570267255,-1.6487496609992036,False,False
2025-01-29,-0.4689876056919602,-1.6582835012764083,-1.6052587312578919,False,False
2025-01-30,0.5261548152180238,-1.624321162271185,-1.5477492152503682,False,False
2025-01-31,-0.5059603990267195,-1.5935162338147295,-1.5021456250753353,False,False
2025-02-03,-0.7637690729495203,-1.5578623062740695,-1.4539572454136427,False,False
2025-02-04,0.7198907403029112,-1.5576215062548986,-1.4576554160574913,False,False
2025-02-05,0.39010539156136137,-1.5165351918493526,-1.417266297430586,False,False
2025-02-06,0.3637674355266266,-1.4831569023448998,-1.3725865179820316,False,False
2025-02-07,-0.9509845693660199,-1.4698774825363468,-1.3505563334283939,False,False
2025-02-10,0.6690112295455173,-1.4714665633103958,-1.3810097276362672,False,False
2025-02-11,0.03395251436738552,-1.458415536049953,-1.3701199560566952,False,False
2025-02-12,-0.27275831896475755,-1.4230327021754507,-1.3189843348063968,False,False
2025-02-13,1.0372313214235747,-1.3611430812109622,-1.2500815358475594,False,False
2025-02-14,-0.00719463955744955,-1.43640266985707,-1.3638792314582884,False,False
2025-02-18,0.24420036555518088,-1.3818139031091712,-1.2939713153937527,False,False
2025-02-19,0.23741488668242433,-1.3613406476693053,-1.2651010331655914,False,False
2025-02-20,-0.4343604884290259,-1.3117717635849595,-1.209969278219835,False,False
2025-02-21,-1.7211396672539132,-1.2703425399335415,-1.1749785596354352,True,True
2025-02-24,-0.4981493566252351,-1.4664087807247002,-1.4787151474657692,False,False
2025-02-25,-0.4690715138395557,-1.4147705955468066,-1.405343221689001,False,False
2025-02-26,0.013601502958346572,-1.3892179738685817,-1.359352833772429,False,False
2025-02-27,-1.5991742678524652,-1.3488084557598068,-1.2969676433142419,True,True
2025-02-28,1.5729780420663384,-1.517133266213878,-1.5332903695383244,False,False
2025-03-03,-1.7753402648308867,-1.6546148100794498,-1.716404243079013,True,True
2025-03-04,-1.2310288231505477,-1.830942214015173,-1.916872602455849,False,False
2025-03-05,1.1097472528735688,-1.80332255244029,-1.8707685885706804,False,False
2025-03-06,-1.7979677107455567,-1.830590981381203,-1.8859660980258035,False,False
2025-03-07,0.5505435045454466,-1.9988923614932907,-2.0578846582178363,False,False
2025-03-10,-2.734354178842815,-1.902612470521963,-1.9228447000475735,True,True
2025-03-11,-0.7596646918536578,-2.316538369758107,-2.3823480234682397,False,False
2025-03-12,0.48749679404907775,-2.1915045427205966,-2.211126817325329,False,False
2025-03-13,-1.3988366806464148,-2.113257921507336,-2.0947594220184835,False,False
2025-03-14,2.1042905953196938,-2.165053318325853,-2.1278452112755626,False,False
2025-03-17,0.6395634974606036,-2.362804105360276,-2.356599559567466,False,False
2025-03-18,-1.0710667074319702,-2.2967521178699477,-2.2496970939341074,False,False
2025-03-19,1.0740608172953767,-2.2380113562994435,-2.170884920654032,False,False
2025-03-20,-0.2187283513782985,-2.2081072583292682,-2.1220948162219497,False,False
2025-03-21,0.0824313607832321,-2.1155561623842787,-1.9925630719875598,False,False
2025-03-24,1.749211712863917,-2.018729690471899,-1.8632571809960765,False,False
2025-03-25,0.15730954906538205,-2.1622645815047346,-2.0540423485717403,False,False
2025-03-26,-1.1219640357598033,-2.0658773690069543,-1.9224801726937455,False,False
2025-03-27,-0.33124610071321114,-2.0221636935481504,-1.8861845568134739,False,False
2025-03-28,-1.9934601126853548,-1.9322306140535268,-1.7696612146916946,True,True
2025-03-31,0.5523240357645721,-2.0899629468778,-1.9970547528923883,False,False
2025-04-01,0.37741045552120667,-2.0415840192453003,-1.9207780276234687,False,False
2025-04-02,0.6705661429484109,-1.9691982856945787,-1.8200332580533267,False,False
2025-04-03,-4.960591182899663,-1.9427935912003802,-1.7799573660514492,True,True
2025-04-04,-6.160906189823093,-3.0512874703783885,-3.233135224300437,True,True
2025-04-07,-0.23341946059635882,-4.670685613981818,-4.849437968554635,False,False
2025-04-08,-1.5825083277054854,-4.1373615957314875,-4.23827351071229,False,False
2025-04-09,9.089487983303645,-4.157589893929813,-4.175576161746537,False,False
2025-04-10,-3.522060702411168,-6.102290408915316,-6.196544323226878,False,False
2025-04-11,1.793038083577807,-6.318818321290626,-6.250681119345926,False,False
2025-04-14,0.7913319326342991,-6.117781595203828,-5.916599493155029,False,False
2025-04-15,-0.1729275225300909,-5.816342344372167,-5.5292102300567345,False,False
2025-04-16,-2.2663253964902528,-5.411044877397156,-5.050157370876771,False,False
2025-04-17,0.1325958623772775,-5.190888482747169,-4.781782820145369,False,False
2025-04-21,-2.384964833401801,-4.982260348506657,-4.508810091374719,False,False
2025-04-22,2.480695212545062,-4.774405858317709,-4.292674005322303,False,False
2025-04-23,1.6523864366879457,-4.843943298436745,-4.370485596722208,False,False
2025-04-24,2.0056628082583163,-4.674785813127141,-4.154907233751572,False,False
2025-04-25,0.7346084795700513,-4.553403791063872,-4.013309326210326,False,False
2025-04-28,0.06405015390019334,-4.317239062928701,-3.7413425950106096,False,False
2025-04-29,0.5785641545556399,-4.039203676021876,-3.4401332509242457,False,False
2025-04-30,0.14788972519335208,-3.841747068570061,-3.238290942054751,False,False
2025-05-01,0.6279345716451974,-3.582971664940393,-2.9883263032875838,False,False
2025-05-02,1.461919110911272,-3.383599661040203,-2.8183111959183087,False,False
2025-05-05,-0.6402047029318447,-3.325912256499503,-2.7965764178634505,False,False
2025-05-06,-0.7722985278391797,-3.0650868983167676,-2.581066048010089,False,False
2025-05-07,0.4336938106710132,-2.882183945633866,-2.444538981429871,False,False
2025-05-08,0.5783021147465641,-2.7124822381728917,-2.3404658417392104,False,False
2025-05-09,-0.07117341348763633,-2.5269575312213672,-2.2153253638000256,False,False
2025-05-12,3.2039976677020814,-2.2923948231306333,-2.0705050311760425,False,False
2025-05-13,0.7222059020245977,-3.0600322298694103,-2.738139343586663,False,False
2025-05-14,0.10238912422760539,-2.858693797401104,-2.5328243593036426,False,False
2025-05-15,0.4123817438757677,-2.667836535013645,-2.352129316768405,False,False
2025-05-16,0.6980849368100189,-2.5264166576333915,-2.2296524238687976,False,False
2025-05-19,0.08757295660482738,-2.40152042458794,-2.124949783524918,False,False
2025-05-20,-0.38877770695725783,-2.2166555368842324,-1.9684788305043017,False,False
2025-05-21,-1.6266719267758898,-2.0911793544355364,-1.8730104797423754,False,False
2025-05-22,-0.04449700224211693,-2.171442452366874,-1.952649948621954,False,False
2025-05-23,-0.6730899591473138,-2.079814951191913,-1.878003955209644,False,False
2025-05-27,2.0252580802184372,-1.9494187888282761,-1.7674579977326448,False,False
2025-05-28,-0.5586802576444734,-2.2926822154208457,-2.119576856803625,False,False
2025-05-29,0.40031708706317415,-2.113902038226766,-1.9488529977665545,False,False
2025-05-30,-0.008118845699520563,-2.0127477793934796,-1.8530948252990775,False,False
2025-06-02,0.4093651490626028,-1.9013962061555192,-1.7504363321456295,False,False
2025-06-03,0.5783533535368979,-1.8033862537089496,-1.662281988394877,False,False
2025-06-04,0.007368474471916267,-1.7463146919686299,-1.6149513323248588,False,False
2025-06-05,-0.5291357978698112,-1.6345997498193892,-1.5169031693970052,False,False
2025-06-06,1.0228196215376713,-1.5586530529469447,-1.4523233871246228,False,False
2025-06-09,0.09195251863913659,-1.6478753039002467,-1.5470270453494614,False,False
2025-06-10,0.5468012541646841,-1.5253376657697109,-1.4321751290061382,False,False
2025-06-11,-0.2747660318287345,-1.4951083966263952,-1.4091523145345195,False,False
2025-06-12,0.38151330716763876,-1.4165230762496626,-1.3394606813320755,False,False
2025-06-13,-1.136066859010289,-1.3599628584787087,-1.290963608468216,False,False
2025-06-16,0.93488231481891,-1.4325667297092584,-1.3538293578982885,False,False
2025-06-17,-0.8387259723643135,-1.541242398346972,-1.473827877799776,False,False
2025-06-18,-0.030928803472058796,-1.4641590410339036,-1.4019492635801485,False,False
