Model,Observed Breaches,Breach Rate (%),LR Statistic,p-value,Kupiec Test Result
Frequentist (MLE Rolling),16,3.54%,2.2494,0.1337,PASS
Bayesian (PyMC MCMC),21,4.65%,0.1220,0.7269,PASS
